timestamp,symbol,funding_zscore,oi_expansion_rate,taker_delta,pressure_score,squeeze_probability,flow_state,whale_activity,squeeze_risk,funding_warning,flow_adjustment,final_score
2026-05-15T08:28:08.381988+00:00,CLUSDT,0.8560898626490749,7.995006611379394,0.12718972156892952,83.05219037298664,20.0,WHALE ACCUMULATION,WHALE ACCUMULATION,LOW,,15,85
2026-05-15T08:28:08.967222+00:00,BZUSDT,0.9157170864121265,1.3039196228477652,0.23266214103155958,76.66215741939206,30.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,70
2026-05-15T08:28:09.509163+00:00,XRPUSDT,-1.0770673620962974,-1.65106922716854,0.016380992602270054,53.45264639565658,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,50
2026-05-15T08:28:09.989375+00:00,XAUUSDT,3.9313357434920113,3.4432928793403366,-0.0769894591110315,53.6398797990957,30.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,30
2026-05-15T08:28:10.689692+00:00,ZECUSDT,-0.435003039675156,-0.3990889253328563,-0.048183329410576986,54.08064489420497,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,35
2026-05-15T08:28:11.167458+00:00,SUIUSDT,1.0849149487145597,3.0417169992678206,0.08869998409783282,56.90258879863724,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:28:11.622791+00:00,TONUSDT,-0.816063295435725,-1.1151646829441662,0.014734527503758721,47.936083484895654,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:28:12.237559+00:00,PLAYUSDT,-2.3793773693978855,-3.712080990857982,0.06125102659117368,47.69564975607216,20.0,NEUTRAL FLOW,NORMAL,LOW,SHORTS CROWDED,5,35
2026-05-15T08:28:12.747313+00:00,TAOUSDT,0.9322225748878333,-1.412691504373545,0.06695847717388999,49.00507807067735,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:28:13.067590+00:00,BTCUSDT,-1.0550037860903652,-1.6015322489433472,-0.2600032711842195,38.00585475750961,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:13.387988+00:00,ETHUSDT,-0.7473776442435512,1.4204401351724454,-0.13205052802453693,46.92020339032227,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:13.710938+00:00,SOLUSDT,0.45617289018010154,1.0915000411328604,-0.13974374025292813,46.024355431967415,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:14.050114+00:00,XAGUSDT,5.960820849459137,2.5507434250554297,-0.1664715213377234,46.93172478168579,20.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,5
2026-05-15T08:28:14.370240+00:00,HYPEUSDT,0.7934415681029785,1.1714479529558532,-0.08215842163298599,47.640927000923824,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:14.695458+00:00,DOGEUSDT,-1.9374838347561525,-0.2569573178384864,-0.1401900490798213,43.732557433028425,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:15.022973+00:00,LABUSDT,-0.5131585922487838,5.725312202437398,0.0025246723840893557,60.30436578756331,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:15.435178+00:00,AIGENSYNUSDT,-3.3562649082533516,9.174321236118878,0.0089495922962713,70.44328576142347,80.0,SHORT SQUEEZE RISK,BUY PRESSURE,HIGH SHORT SQUEEZE RISK,SHORTS CROWDED,13,28
2026-05-15T08:28:15.751386+00:00,BNBUSDT,-0.8934060970941015,1.7003472781655145,-0.2800133892358363,42.234047396320406,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:16.065473+00:00,BILLUSDT,-0.9092507907812745,5.079318102035092,-0.009520276371800567,59.348334742908044,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:16.377387+00:00,1000PEPEUSDT,-0.7328446201018364,-0.9954251021129293,-0.16314914471314576,41.86058166080173,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:16.697632+00:00,CRCLUSDT,-0.32243825375409974,-3.241737189960455,-0.11949327450003559,40.35387699795473,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:17.024731+00:00,MUUSDT,-0.31941030329885767,8.551506780502635,-0.2099611001695132,54.29435253180032,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:17.398653+00:00,ADAUSDT,-1.0629021887166206,0.11505528904653128,-0.27802689241375445,39.769498308498434,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:17.916006+00:00,INJUSDT,0.23039432355362088,-1.3471305464322905,-0.13280582213210615,43.05332262795008,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:18.450577+00:00,LINKUSDT,-1.6810852549833777,0.4528667719910365,-0.37356172857884823,36.99582650364474,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:28:18.891419+00:00,AVAXUSDT,-0.17831002068442436,-1.9770159198076027,-0.1451622603899061,41.25935256219743,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
