scope,strategy,train_window,test_window,fold_count,rows,source_distribution,original_target_distribution,binary_target_distribution,avg_model_accuracy,weighted_model_accuracy,avg_majority_baseline_accuracy,weighted_majority_baseline_accuracy,avg_model_vs_baseline_delta,weighted_model_vs_baseline_delta,folds_beating_baseline,folds_beating_baseline_rate,best_fold_accuracy,worst_fold_accuracy,valid_fold_count,skipped_reason,timestamp_min,timestamp_max,rank
cross_source,ipt_first70_last30,312,134,1,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.567164,0.567164,0.529851,0.529851,0.037313,0.037313,1,1.0,0.567164,0.567164,1,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,1
cross_source,train_ipt_test_historical,446,597,1,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.606365,0.606365,0.60804,0.60804,-0.001675,-0.001675,0,0.0,0.606365,0.606365,1,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,2
ipt_only,300/70,300,70,2,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.564285,0.564285,0.578572,0.578572,-0.014286,-0.014286,1,0.5,0.728571,0.4,2,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,3
mixed_additive,500/100,500,100,5,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.53,0.53,0.582,0.582,-0.052,-0.052,2,0.4,0.62,0.43,5,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,4
ipt_only,expanding_250_75,250,75,2,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.513333,0.513333,0.58,0.58,-0.066667,-0.066667,1,0.5,0.626667,0.4,2,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,5
ipt_only,expanding_200_50,200,50,4,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.535,0.535,0.61,0.61,-0.075,-0.075,2,0.5,0.7,0.36,4,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,6
mixed_additive,expanding_300_100,300,100,7,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.52,0.52,0.595714,0.595714,-0.075714,-0.075714,2,0.285714,0.6,0.44,7,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,7
mixed_additive,400/80,400,80,8,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.5,0.5,0.582812,0.582812,-0.082812,-0.082812,1,0.125,0.6625,0.3875,8,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,8
mixed_additive,expanding_250_75,250,75,10,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.504,0.504,0.592,0.592,-0.088,-0.088,2,0.2,0.626667,0.4,10,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,9
ipt_only,200/50,200,50,4,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.52,0.52,0.61,0.61,-0.09,-0.09,1,0.25,0.62,0.42,4,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,10
mixed_additive,expanding_200_50,200,50,16,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.52125,0.52125,0.61625,0.61625,-0.095,-0.095,2,0.125,0.7,0.4,16,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,11
mixed_additive,300/70,300,70,10,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.488572,0.488572,0.592857,0.592857,-0.104286,-0.104286,1,0.1,0.642857,0.357143,10,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,12
mixed_additive,250/50,250,50,15,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.496,0.496,0.606667,0.606667,-0.110667,-0.110667,3,0.2,0.7,0.36,15,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,13
ipt_only,250/50,250,50,3,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.526667,0.526667,0.64,0.64,-0.113333,-0.113333,1,0.333333,0.74,0.36,3,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,14
historical_only,300/70,300,70,4,597,{'historical_outcomes': 597},"{'LOSS': 363, 'TP1 HIT': 190, 'WIN': 44}","{'LOSS': 363, 'WIN': 234}",0.485714,0.485715,0.614286,0.614285,-0.128571,-0.128571,0,0.0,0.585714,0.414286,4,,2026-05-09T07:29:59.999000+00:00,2026-05-24T21:59:59.999000+00:00,15
ipt_only,expanding_150_50,150,50,5,446,{'internal_paper_trades': 446},"{'WIN': 255, 'LOSS': 191}","{'WIN': 255, 'LOSS': 191}",0.504,0.504,0.636,0.636,-0.132,-0.132,2,0.4,0.7,0.36,5,,2026-05-26T11:05:12.445670+00:00,2026-06-22T18:05:35.736930+00:00,16
cross_source,train_historical_test_ipt,597,446,1,1043,"{'historical_outcomes': 597, 'internal_paper_trades': 446}","{'LOSS': 554, 'WIN': 299, 'TP1 HIT': 190}","{'LOSS': 554, 'WIN': 489}",0.439462,0.439462,0.571749,0.571749,-0.132287,-0.132287,0,0.0,0.439462,0.439462,1,,2026-05-09T07:29:59.999000+00:00,2026-06-22T18:05:35.736930+00:00,17
