symbol,cluster_size,trade_id,timestamp,entry_price,confidence,status,is_excess
AIOUSDT,3,22256,2026-06-11T15:55:14.680107+00:00,0.20653,87.56,CLOSED,False
AIOUSDT,3,22257,2026-06-11T15:55:33.512124+00:00,0.20592,87.48,CLOSED,True
AIOUSDT,3,22258,2026-06-11T15:55:52.664984+00:00,0.2076,87.74,CLOSED,True
AIOUSDT,2,23060,2026-06-12T06:10:14.889802+00:00,0.17298,80.91,CLOSED,False
AIOUSDT,2,24079,2026-06-12T06:10:53.487694+00:00,0.17196,81.43,CLOSED,True
ALICEUSDT,2,35444,2026-06-20T21:30:35.616400+00:00,0.1706,75.4,CLOSED,False
ALICEUSDT,2,35445,2026-06-20T21:30:55.072676+00:00,0.1721,75.48,CLOSED,True
ALLOUSDT,2,476,2026-05-30T10:50:17.335174+00:00,0.29371,100.0,CLOSED,False
ALLOUSDT,2,477,2026-05-30T10:51:31.804360+00:00,0.2929,89.33,CLOSED,True
ALLOUSDT,3,498,2026-05-30T11:10:18.907347+00:00,0.28697,76.53,CLOSED,False
ALLOUSDT,3,500,2026-05-30T11:11:41.226918+00:00,0.28888,88.42,CLOSED,True
ALLOUSDT,3,502,2026-05-30T11:12:52.568639+00:00,0.29065,87.89,CLOSED,True
ALLOUSDT,2,576,2026-05-30T12:11:26.731477+00:00,0.29833,75.38,CLOSED,False
ALLOUSDT,2,700,2026-05-30T12:11:46.189293+00:00,0.29714,75.37,CLOSED,True
ALLOUSDT,2,2726,2026-05-30T22:50:25.920995+00:00,0.22628,80.8,CLOSED,False
ALLOUSDT,2,3299,2026-05-30T22:50:43.143853+00:00,0.22574,80.8,CLOSED,True
ALLOUSDT,3,15920,2026-06-07T23:25:10.678254+00:00,0.33763,100.0,CLOSED,False
ALLOUSDT,3,15921,2026-06-07T23:25:29.637370+00:00,0.33415,100.0,CLOSED,True
ALLOUSDT,3,15971,2026-06-07T23:25:48.264869+00:00,0.33305,87.03,CLOSED,True
ALLOUSDT,3,16068,2026-06-08T03:25:11.426327+00:00,0.3902,89.67,CLOSED,False
ALLOUSDT,3,16288,2026-06-08T03:25:29.966060+00:00,0.39127,89.68,CLOSED,True
ALLOUSDT,3,16289,2026-06-08T03:25:48.482419+00:00,0.39038,89.65,CLOSED,True
ALLOUSDT,3,16365,2026-06-08T07:25:12.365665+00:00,0.43862,95.17,CLOSED,False
ALLOUSDT,3,16366,2026-06-08T07:25:35.187278+00:00,0.43776,95.15,CLOSED,True
ALLOUSDT,3,16367,2026-06-08T07:25:55.571288+00:00,0.43277,95.51,CLOSED,True
ALLOUSDT,2,16464,2026-06-08T08:45:30.516181+00:00,0.47214,75.94,CLOSED,False
ALLOUSDT,2,16513,2026-06-08T08:45:50.062420+00:00,0.4674,75.78,CLOSED,True
ALLOUSDT,3,18060,2026-06-09T00:05:11.450077+00:00,0.42493,87.8,CLOSED,False
ALLOUSDT,3,18510,2026-06-09T00:05:29.538863+00:00,0.42545,87.94,CLOSED,True
ALLOUSDT,3,18535,2026-06-09T00:05:48.372915+00:00,0.42795,88.18,CLOSED,True
ALLOUSDT,3,18585,2026-06-09T01:25:11.889216+00:00,0.43622,91.38,CLOSED,False
ALLOUSDT,3,20185,2026-06-09T01:25:31.462777+00:00,0.43626,91.49,CLOSED,True
ALLOUSDT,3,20207,2026-06-09T01:25:52.641107+00:00,0.43535,91.61,CLOSED,True
ASTERUSDT,3,2576,2026-05-30T19:10:37.696416+00:00,0.755,88.93,CLOSED,False
ASTERUSDT,3,2701,2026-05-30T19:11:57.476208+00:00,0.7568,89.15,CLOSED,True
ASTERUSDT,3,2725,2026-05-30T19:12:52.218377+00:00,0.7567,90.62,CLOSED,True
ASTERUSDT,3,14149,2026-06-01T01:40:11.668023+00:00,0.7183,85.4,CLOSED,False
ASTERUSDT,3,14150,2026-06-01T01:40:30.053898+00:00,0.7183,85.4,CLOSED,True
ASTERUSDT,3,14151,2026-06-01T01:40:47.858083+00:00,0.7185,85.39,CLOSED,True
ASTERUSDT,3,36071,2026-06-21T02:55:17.354224+00:00,0.6527,90.1,CLOSED,False
ASTERUSDT,3,36246,2026-06-21T02:55:37.168038+00:00,0.6527,91.38,CLOSED,True
ASTERUSDT,3,36396,2026-06-21T02:55:56.841523+00:00,0.6525,90.39,CLOSED,True
AXSUSDT,3,35596,2026-06-21T00:25:14.808466+00:00,1.207,92.0,CLOSED,False
AXSUSDT,3,35620,2026-06-21T00:25:35.776451+00:00,1.206,92.24,CLOSED,True
AXSUSDT,3,35621,2026-06-21T00:25:57.402901+00:00,1.208,92.59,CLOSED,True
BEATUSDT,3,15196,2026-06-07T14:55:12.768089+00:00,2.7247,86.98,CLOSED,False
BEATUSDT,3,15245,2026-06-07T14:55:31.129436+00:00,2.7232,87.05,CLOSED,True
BEATUSDT,3,15246,2026-06-07T14:55:49.617635+00:00,2.7191,87.12,CLOSED,True
BEATUSDT,3,15370,2026-06-07T15:20:13.872623+00:00,2.7597,86.89,CLOSED,False
BEATUSDT,3,15371,2026-06-07T15:20:33.724288+00:00,2.7625,86.93,CLOSED,True
BEATUSDT,3,15669,2026-06-07T15:20:52.033184+00:00,2.7659,87.0,CLOSED,True
BEATUSDT,2,15670,2026-06-07T15:40:33.640797+00:00,2.8483,89.01,CLOSED,False
BEATUSDT,2,15671,2026-06-07T15:40:51.911495+00:00,2.8524,89.07,CLOSED,True
BEATUSDT,2,15845,2026-06-07T22:25:12.832775+00:00,3.6018,89.59,CLOSED,False
BEATUSDT,2,15846,2026-06-07T22:25:38.943553+00:00,3.6124,89.72,CLOSED,True
BEATUSDT,3,24909,2026-06-13T08:10:12.372270+00:00,9.1011,89.54,CLOSED,False
BEATUSDT,3,25208,2026-06-13T08:10:33.421283+00:00,9.1,89.62,CLOSED,True
BEATUSDT,3,25210,2026-06-13T08:10:54.121182+00:00,9.1159,89.68,CLOSED,True
BEATUSDT,2,27346,2026-06-15T07:40:33.054569+00:00,4.9476,75.01,CLOSED,False
BEATUSDT,2,27419,2026-06-15T07:40:53.943555+00:00,4.9074,75.08,CLOSED,True
BEATUSDT,2,38956,2026-06-27T13:25:28.415737+00:00,2.645,87.13,OPEN,False
BEATUSDT,2,38958,2026-06-27T13:25:46.229241+00:00,2.642,87.18,OPEN,True
BICOUSDT,3,35219,2026-06-20T06:55:12.854837+00:00,0.0412,77.08,CLOSED,False
BICOUSDT,3,35221,2026-06-20T06:55:35.568968+00:00,0.04116,77.15,CLOSED,True
BICOUSDT,3,35294,2026-06-20T06:55:56.628705+00:00,0.04113,77.18,CLOSED,True
BICOUSDT,3,35320,2026-06-20T16:55:11.889344+00:00,0.04645,79.01,CLOSED,False
BICOUSDT,3,35321,2026-06-20T16:55:32.647748+00:00,0.04635,79.23,CLOSED,True
BICOUSDT,3,35363,2026-06-20T16:55:52.510953+00:00,0.04634,79.41,CLOSED,True
BICOUSDT,3,35364,2026-06-20T17:20:12.234292+00:00,0.05632,77.18,CLOSED,False
BICOUSDT,3,35365,2026-06-20T17:20:31.727739+00:00,0.05669,77.56,CLOSED,True
BICOUSDT,3,35366,2026-06-20T17:20:52.195870+00:00,0.05619,77.6,CLOSED,True
BICOUSDT,3,35368,2026-06-20T18:10:11.723684+00:00,0.05958,79.28,CLOSED,False
BICOUSDT,3,35370,2026-06-20T18:10:33.812281+00:00,0.05975,79.35,CLOSED,True
BICOUSDT,3,35443,2026-06-20T18:10:54.373091+00:00,0.05958,79.42,CLOSED,True
BICOUSDT,3,36444,2026-06-21T05:25:11.882430+00:00,0.05472,83.01,CLOSED,False
BICOUSDT,3,36445,2026-06-21T05:25:32.836989+00:00,0.05474,83.16,CLOSED,True
BICOUSDT,3,36446,2026-06-21T05:25:53.795309+00:00,0.05478,83.3,CLOSED,True
BICOUSDT,3,36819,2026-06-21T13:10:11.673789+00:00,0.05435,87.14,CLOSED,False
BICOUSDT,3,36820,2026-06-21T13:10:32.111239+00:00,0.05387,87.32,CLOSED,True
BICOUSDT,3,36821,2026-06-21T13:10:52.942452+00:00,0.05383,87.41,CLOSED,True
BTWUSDT,3,14697,2026-06-07T08:55:16.095775+00:00,0.068696,100.0,CLOSED,False
